datetime,role_1_x,role_1_y,role_2_x,role_2_y,role_3_x,role_3_y,role_4_x,role_4_y,role_5_x,role_5_y,role_6_x,role_6_y,role_7_x,role_7_y,role_8_x,role_8_y,role_9_x,role_9_y,role_10_x,role_10_y
2020-01-01 19:08:56,-313.60000000000036,-1802.3000000000002,-1320.6000000000004,-962.3000000000002,1379.3999999999996,883.6999999999998,234.39999999999964,-1057.3000000000002,1128.3999999999996,-383.3000000000002,90.39999999999964,766.6999999999998,-1290.6000000000004,104.69999999999982,-1133.6000000000004,1549.6999999999998,-55.600000000000364,2612.7,1281.3999999999996,-1712.3000000000002
2020-01-01 19:08:57,-544.3999999999996,-1891.6,-1304.3999999999996,-884.5999999999999,1449.6000000000004,876.4000000000001,296.60000000000036,-998.5999999999999,1118.6000000000004,-305.5999999999999,116.60000000000036,762.4000000000001,-1209.3999999999996,-5.599999999999909,-1080.3999999999996,1582.4,-11.399999999999636,2493.4,1168.6000000000004,-1628.6
2020-01-01 19:08:58,-764.0,-1982.4,-1287.0,-809.4000000000001,1608.0,924.5999999999999,333.0,-962.4000000000001,1133.0,-246.4000000000001,146.0,756.5999999999999,-1168.0,17.59999999999991,-1025.0,1623.6,41.0,2391.6,983.0,-1713.4
2020-01-01 19:08:59,-960.6999999999998,-2066.0,-1324.6999999999998,-768.0,1862.3000000000002,1110.0,326.3000000000002,-971.0,1191.3000000000002,-234.0,137.30000000000018,732.0,-1202.6999999999998,136.0,-1004.6999999999998,1646.0,178.30000000000018,2326.0,797.3000000000002,-1911.0
2020-01-01 19:09:00,-1150.3000000000002,-2144.4,-1424.3000000000002,-744.4000000000001,1396.6999999999998,-309.4000000000001,258.6999999999998,-1005.4000000000001,2132.7,1358.6,65.69999999999982,712.5999999999999,-1281.3000000000002,262.5999999999999,-1026.3000000000002,1702.6,425.6999999999998,2296.6,602.6999999999998,-2129.4
2020-01-01 19:09:01,-1318.8000000000002,-2222.8,-1474.8000000000002,-717.8000000000002,1610.1999999999998,-430.8000000000002,142.19999999999982,-1022.8000000000002,2255.2,1557.1999999999998,-15.800000000000182,722.1999999999998,-1386.8000000000002,357.1999999999998,-1050.8000000000002,1798.1999999999998,766.1999999999998,2292.2,473.1999999999998,-2332.8
2020-01-01 19:09:02,-1401.3999999999996,-2340.3999999999996,-1487.3999999999996,-702.3999999999996,1584.6000000000004,-395.39999999999964,48.600000000000364,-1034.3999999999996,2216.6000000000004,1601.6000000000004,-46.399999999999636,718.6000000000004,-1503.3999999999996,436.60000000000036,-921.3999999999996,1904.6000000000004,1138.6000000000004,2344.6000000000004,371.60000000000036,-2533.3999999999996
2020-01-01 19:09:03,-1403.1000000000004,-2425.0,-1516.1000000000004,-655.0,1300.8999999999996,-182.0,1.8999999999996362,-1014.0,2200.8999999999996,1551.0,-8.100000000000364,723.0,-1501.1000000000004,533.0,-679.1000000000004,1986.0,1312.8999999999996,2136.0,290.89999999999964,-2653.0
2020-01-01 19:09:04,-1346.6000000000004,-2342.8,-1493.6000000000004,-578.8000000000002,2171.3999999999996,1419.1999999999998,49.399999999999636,-939.8000000000002,1046.3999999999996,45.19999999999982,97.39999999999964,678.1999999999998,-1386.6000000000004,635.1999999999998,-601.6000000000004,2037.1999999999998,1154.3999999999996,1702.1999999999998,309.39999999999964,-2655.8
2020-01-01 19:09:05,-1258.5,-2199.8999999999996,-1463.5,-533.8999999999996,2148.5,1333.1000000000004,150.5,-880.8999999999996,844.5,103.10000000000036,162.5,655.1000000000004,-1222.5,684.1000000000004,-646.5,2051.1000000000004,931.5,1395.1000000000004,353.5,-2606.8999999999996
2020-01-01 19:09:06,-1239.8999999999996,-2060.6000000000004,-1379.8999999999996,-461.60000000000036,2140.1000000000004,1267.3999999999996,220.10000000000036,-865.6000000000004,726.1000000000004,117.39999999999964,206.10000000000036,610.3999999999996,-1116.8999999999996,647.3999999999996,-691.8999999999996,2043.3999999999996,752.1000000000004,1229.3999999999996,384.10000000000036,-2527.6000000000004
2020-01-01 19:09:07,-1289.3999999999996,-1814.8000000000002,-1363.3999999999996,-476.8000000000002,2137.6000000000004,1182.1999999999998,308.60000000000036,-848.8000000000002,656.6000000000004,191.19999999999982,286.60000000000036,537.1999999999998,-1079.3999999999996,549.1999999999998,-693.3999999999996,1953.1999999999998,575.6000000000004,1154.1999999999998,460.60000000000036,-2426.8
2020-01-01 19:09:08,-1287.0,-1651.0,-1263.0,-446.0,2093.0,1094.0,503.0,-680.0,625.0,48.0,348.0,469.0,-1127.0,457.0,-725.0,1853.0,379.0,1162.0,454.0,-2306.0
2020-01-01 19:09:09,-1208.6000000000004,-1601.9,-902.6000000000004,-229.9000000000001,1988.3999999999996,988.0999999999999,628.3999999999996,-374.9000000000001,631.3999999999996,-159.9000000000001,273.39999999999964,357.0999999999999,-1178.6000000000004,334.0999999999999,-817.6000000000004,1732.1,259.39999999999964,1139.1,326.39999999999964,-2183.9
